"ID","X","Y","state","OAK","PINE","MAPLE","BIRCH","HEMLOCK","TAMARACK","POPLAR/TULIP.POPLAR","CEDAR/JUNIPER","BEECH","ELM","SPRUCE","BASSWOOD","ASH","FIR","IRONWOOD","HICKORY","OTHER.HARDWOOD","WALNUT","BLACK.GUM/SWEET.GUM"
3880,181000,1390000,"minnesota",0,0,0,1,0,4,3,0,0,1,3,0,0,2,0,0,0,0,0
3881,189000,1390000,"minnesota",0,0,0,1,0,11,4,2,0,0,4,0,0,0,0,0,0,0,0
3882,197000,1390000,"minnesota",0,0,0,3,0,1,2,5,0,1,2,0,1,1,0,0,0,0,0
3883,205000,1390000,"minnesota",0,1,0,0,0,11,3,8,0,0,3,0,0,0,0,0,0,0,0
3884,213000,1390000,"minnesota",0,2,0,2,0,0,2,6,0,0,4,0,0,2,0,0,0,0,0
3885,221000,1390000,"minnesota",0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
4151,-19000,1382000,"minnesota",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4152,-11000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4153,-3000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4154,5000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4155,13000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4156,21000,1382000,"minnesota",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4157,29000,1382000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4158,37000,1382000,"minnesota",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4159,45000,1382000,"minnesota",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4160,53000,1382000,"minnesota",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4161,61000,1382000,"minnesota",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4162,69000,1382000,"minnesota",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4163,77000,1382000,"minnesota",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
