# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_v6_model
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_long.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
# Adaptation terminated
# Step size = 0.0249201
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6724.88,0.945364,0.0249201,2,0,40.7678,7.24319,64.8403,32.1679,10.7943,11.7588,30.1396,7.40081,33.6528,74.6069,30.748,2.79899,0.20351,0.245447
-6720.07,0.998384,0.0249201,3,0,39.0456,8.00751,63.0746,31.5293,11.5749,11.3188,28.839,7.42617,34.7922,69.5247,30.2233,2.90593,0.215965,0.257887
-6718.85,0.984127,0.0249201,3,0,38.165,11.5355,72.3952,37.924,15.4691,9.70596,32.8435,8.54415,39.8853,83.0582,36.67,3.85677,0.20718,0.27303
-6719.54,0.912301,0.0249201,2,0,41.564,11.8841,71.9215,37.035,14.8491,10.4947,34.4342,9.28579,38.7454,78.8792,38.6027,3.93319,0.2034,0.256496
-6714.82,0.989885,0.0249201,3,0,41.5334,8.11292,74.6613,35.9995,14.0002,11.1881,35.6255,8.07453,39.4637,82.6267,34.2881,3.34143,0.211564,0.261026
-6714.2,0.931657,0.0249201,2,0,42.082,8.20251,72.601,37.7783,14.3508,10.6382,35.1005,8.25353,40.8441,81.8017,34.3898,3.32481,0.207041,0.26163
-6718.09,0.698052,0.0249201,2,0,42.2134,9.39276,71.4705,36.2257,12.5227,9.88906,33.6381,8.76989,36.367,77.6712,36.0226,3.71589,0.221738,0.286222
-6718.12,1,0.0249201,3,0,41.4022,8.39509,75.7938,38.881,16.7696,11.6177,34.9236,8.47138,40.4153,88.5777,35.6911,3.39301,0.202765,0.251864
-6714.57,0.925207,0.0249201,2,0,42.7102,7.85592,71.4871,37.1582,13.6311,10.7108,32.5037,8.39885,38.695,83.411,34.016,3.55109,0.21066,0.267362
-6717.86,0.926676,0.0249201,1,0,44.0306,8.09362,67.721,40.4848,13.7248,10.7748,32.9122,8.41176,37.7494,78.0019,34.4704,3.54005,0.212598,0.259847
-6722.77,0.977168,0.0249201,2,0,32.9323,8.749,73.9296,32.2611,13.5302,11.3986,32.8795,7.1155,37.9578,79.7955,35.808,3.69766,0.208258,0.272063
-6717.94,0.863299,0.0249201,2,0,34.9028,9.05785,69.1095,32.6983,14.1962,11.1713,32.5178,7.27586,38.7833,78.9358,35.7207,3.634,0.206876,0.269168
-6715.71,0.998254,0.0249201,2,0,40.0889,11.551,72.4833,38.0844,13.8087,10.8364,32.8575,8.92962,36.8299,81.3575,36.1021,3.22702,0.211274,0.258429
-6713.14,0.980667,0.0249201,3,0,38.93,8.78585,73.0092,35.0808,13.4194,11.146,32.6895,8.19461,36.6238,79.1238,33.6028,3.68009,0.21399,0.265411
-6715,0.915145,0.0249201,2,0,38.1992,7.38076,71.5411,36.2985,13.2673,11.0788,33.3915,8.56128,37.8942,82.0525,33.3635,3.06763,0.21316,0.255034
-6714.21,0.907117,0.0249201,3,0,40.1018,10.0787,67.6819,35.8488,12.6943,10.5844,31.4512,8.47933,35.6624,75.9054,34.8242,3.62068,0.211192,0.282556
-6714.88,0.9622,0.0249201,3,0,38.9492,8.73145,71.7693,34.7972,14.8603,10.9116,34.2759,7.54409,37.688,79.7227,32.7972,3.68557,0.203011,0.261626
-6721.51,0.903599,0.0249201,2,0,34.1594,7.64604,67.662,36.2144,14.7026,9.64746,30.454,8.38159,37.1009,77.8771,34.2378,3.9675,0.221133,0.252631
-6721.45,0.949301,0.0249201,2,0,32.8483,7.38524,67.2322,37.8393,12.0559,10.6178,32.5343,7.29539,34.8925,75.1545,34.4108,3.52548,0.21529,0.280086
-6724.63,0.963711,0.0249201,2,0,43.3971,7.9613,66.2021,33.5738,10.5378,11.6037,29.9466,7.9161,37.6736,75.679,30.7809,4.00791,0.215273,0.26401
-6722.54,0.971618,0.0249201,2,0,37.5412,9.04615,67.0868,34.7373,11.3659,9.86967,32.8796,7.2576,33.9489,74.6955,34.7194,4.28997,0.204571,0.250165
-6719.46,0.960173,0.0249201,3,0,37.0285,7.0179,64.5491,32.2722,13.337,10.3358,29.7344,8.37491,32.0328,71.672,29.5762,3.34876,0.220549,0.289399
-6719.09,0.924124,0.0249201,3,0,34.6858,7.01713,63.6701,33.5777,13.4723,10.203,28.3781,8.28159,33.5543,68.159,31.3113,3.44659,0.224153,0.270962
-6714.15,0.964756,0.0249201,2,0,37.9882,8.33203,65.9226,32.9006,12.2446,10.0899,30.7583,7.73189,35.7598,72.9504,31.318,3.54488,0.209295,0.271412
-6715.73,0.911288,0.0249201,2,0,39.0565,8.68223,66.7181,32.7861,11.9387,9.8368,29.4138,7.86426,34.1782,71.3941,33.4349,3.57065,0.212871,0.268372
-6717.9,0.926237,0.0249201,2,0,34.6495,8.53334,66.5101,32.9977,13.2926,9.90547,33.0645,8.25235,38.3325,79.2385,34.0973,3.85125,0.209565,0.261017
-6718.39,0.966238,0.0249201,3,0,34.5635,8.20222,70.8095,36.6789,12.6285,10.2282,31.928,7.84435,35.2546,77.6141,36.0108,3.89564,0.206862,0.251567
-6714.06,0.939243,0.0249201,2,0,37.7617,8.41293,65.648,35.3162,13.2081,10.4721,30.375,7.6868,36.5793,76.3545,34.1889,3.67751,0.207629,0.253123
-6716.27,0.897277,0.0249201,3,0,39.8521,6.67815,70.6608,35.0405,13.6454,10.9296,33.1338,8.0106,38.2945,76.7676,34.2953,2.99879,0.208049,0.280403
-6720.85,0.933025,0.0249201,2,0,41.631,6.91577,68.6333,37.0223,14.4209,9.91693,32.7381,7.74019,38.3626,81.184,39.2317,2.7814,0.20958,0.254439
-6716.11,0.927847,0.0249201,2,0,35.7538,7.49065,70.0822,37.6507,14.9215,10.6159,32.0291,7.78823,36.6916,76.2838,32.5703,3.24801,0.213944,0.284723
-6720.08,0.874752,0.0249201,2,0,36.0563,7.19698,71.9848,39.5767,14.5994,10.2441,32.8081,7.91483,37.9112,80.0768,34.0795,3.10466,0.225595,0.276152
-6719.86,0.9284,0.0249201,2,0,42.2073,6.4711,72.5928,34.8437,14.463,11.1772,33.9273,8.19121,40.0311,78.6286,37.3685,3.81701,0.203246,0.276416
-6719.58,0.935612,0.0249201,1,0,43.2658,6.36558,74.2513,35.8584,14.6687,11.3873,33.3042,8.32074,40.5573,79.6579,38.0467,3.84988,0.209598,0.271093
-6721.83,0.869046,0.0249201,3,0,37.4497,12.1847,71.1185,36.5776,13.8756,10.0298,30.093,8.25544,39.1326,76.7738,30.6995,3.24197,0.213026,0.261629
-6716.11,0.991241,0.0249201,2,0,38.4433,9.47813,67.4861,34.2519,12.7405,10.549,30.727,8.72126,35.9025,77.3391,32.4988,3.89349,0.201649,0.251829
-6715.62,0.98018,0.0249201,3,0,36.8818,8.99718,71.7714,36.6597,14.197,10.9122,33.0333,7.66699,36.5165,77.2844,33.2179,2.99056,0.217854,0.285843
-6716.42,0.908103,0.0249201,3,0,41.3759,8.05403,70.2569,32.491,13.1624,10.2899,32.9683,8.92088,36.7955,78.0836,31.5825,3.61191,0.20755,0.250372
-6719.83,0.893529,0.0249201,2,0,42.5016,7.76001,65.7053,31.5624,13.0333,10.1639,31.7369,8.87938,36.6533,77.8671,32.767,3.49276,0.199271,0.258397
-6714,1,0.0249201,2,0,39.5582,8.52815,70.6074,36.9297,14.1278,10.8807,31.7827,7.77096,36.6928,78.4156,31.9022,3.52318,0.220686,0.269589
-6716.37,0.941169,0.0249201,2,0,42.5318,9.54023,73.9915,38.1669,14.056,11.2154,36.1363,9.09314,40.6292,84.3402,38.2047,3.91148,0.208095,0.285653
-6715.26,0.936733,0.0249201,3,0,38.6297,8.30998,68.2003,34.2679,13.8783,10.2632,32.5602,7.69585,38.2234,79.9852,30.9015,3.53629,0.203913,0.262241
-6719.71,0.698272,0.0249201,2,0,46.7116,10.1506,75.3033,36.2963,13.2459,10.2879,34.265,8.73112,37.894,79.4252,32.2278,3.69129,0.211446,0.263116
-6717.94,0.93087,0.0249201,2,0,42.5072,8.75875,72.1563,36.7528,12.8423,10.5884,33.707,8.68336,39.6692,85.186,32.6657,3.51501,0.206229,0.278346
-6722,0.912197,0.0249201,3,0,38.9136,7.66547,67.543,31.6031,13.2923,10.0935,30.6492,7.36352,33.9694,68.7014,28.0555,3.17956,0.21425,0.281877
-6722.68,0.972404,0.0249201,2,0,40.2479,7.4009,67.2449,32.594,12.7137,9.95022,31.0377,7.25106,33.627,77.2807,27.6484,3.38244,0.216471,0.278043
-6717.72,1,0.0249201,2,0,34.9781,7.72546,62.4101,35.3439,13.1605,10.1483,28.7202,8.43764,35.086,73.1614,33.6305,3.55454,0.218649,0.275069
-6717.59,0.992554,0.0249201,2,0,40.8917,7.76345,69.6588,32.0456,12.2128,10.4732,31.366,8.55559,34.3841,76.7902,31.8853,3.06739,0.213191,0.277071
-6717.02,0.98793,0.0249201,2,0,41.0642,8.06628,67.1985,32.6682,12.4678,10.8007,30.9234,8.55746,35.0411,74.8834,36.9248,3.04668,0.218988,0.27284
-6722.26,0.703319,0.0249201,2,0,35.6968,8.34998,67.8413,36.9943,12.6375,9.7219,29.7055,9.06037,32.8392,74.5575,36.9373,3.00374,0.214236,0.277453
